,Date,High,Low,Close
14951,21/03/1984,1181.95,1165.62,1170.85
14952,22/03/1984,1170.85,1150.75,1155.88
14953,23/03/1984,1161.54,1145.31,1154.84
14954,26/03/1984,1161.96,1146.25,1152.95
14955,27/03/1984,1162.27,1145.62,1154.31
14956,28/03/1984,1176.61,1151.8,1174.62
14957,29/03/1984,1184.25,1165.52,1170.75
14958,30/03/1984,1173.68,1157.87,1164.89
14959,02/04/1984,1175.36,1145.94,1153.16
14960,03/04/1984,1159.13,1140.39,1148.76
14961,04/04/1984,1156.83,1141.02,1148.56
14962,05/04/1984,1157.87,1128.35,1130.55
14963,06/04/1984,1138.19,1117.25,1132.22
14964,09/04/1984,1141.86,1123.64,1133.9
14965,10/04/1984,1147.93,1131.28,1138.3
14966,11/04/1984,1145.1,1127.2,1130.97
14967,12/04/1984,1159.55,1121.02,1157.14
14968,13/04/1984,1169.28,1144.58,1150.13
14969,16/04/1984,1162.9,1139.55,1160.28
14970,17/04/1984,1173.99,1156.83,1164.57
14971,18/04/1984,1167.71,1151.07,1156.51
14972,19/04/1984,1162.79,1145.41,1158.08
14973,23/04/1984,1164.78,1146.04,1149.5
14974,24/04/1984,1170.54,1144.37,1162.9
14975,25/04/1984,1170.33,1153.69,1163.53
14976,26/04/1984,1182.06,1162.79,1175.25
14977,27/04/1984,1180.49,1163.32,1169.07
14978,30/04/1984,1177.45,1160.07,1170.75
14979,01/05/1984,1188.86,1167.4,1183.0
14980,02/05/1984,1194.41,1174.1,1186.56
14981,03/05/1984,1192.73,1174.1,1181.53
14982,04/05/1984,1185.41,1158.9,1165.31
14983,07/05/1984,1170.96,1157.87,1166.56
14984,08/05/1984,1181.11,1159.97,1176.3
14985,09/05/1984,1182.47,1157.45,1175.52
14986,10/05/1984,1176.61,1158.71,1167.19
14987,11/05/1984,1168.24,1145.31,1157.14
14988,14/05/1984,1160.49,1141.96,1151.07
14989,15/05/1984,1160.8,1143.43,1150.86
14990,16/05/1984,1159.86,1146.88,1153.16
14991,17/05/1984,1154.1,1134.84,1142.27
14992,18/05/1984,1147.82,1125.73,1133.79
14993,21/05/1984,1139.13,1121.23,1125.31
14994,22/05/1984,1126.99,1105.95,1116.62
14995,23/05/1984,1125.63,1109.19,1113.8
14996,24/05/1984,1117.15,1096.31,1103.43
14997,25/05/1984,1114.32,1096.84,1107.1
14998,29/05/1984,1113.8,1093.8,1101.24
14999,30/05/1984,1116.59,1083.19,1102.59
15000,31/05/1984,1113.9,1095.15,1104.85
15001,01/06/1984,1127.26,1106.25,1124.35
15002,04/06/1984,1143.53,1125.32,1131.57
15003,05/06/1984,1133.62,1117.13,1124.89
15004,06/06/1984,1144.83,1117.89,1133.84
15005,07/06/1984,1139.12,1125.11,1132.44
15006,08/06/1984,1137.82,1123.81,1131.25
15007,11/06/1984,1130.96,1112.63,1115.61
15008,12/06/1984,1119.92,1101.92,1110.53
15009,13/06/1984,1120.91,1103.8,1110.53
15010,14/06/1984,1113.96,1089.55,1097.61
15011,15/06/1984,1106.34,1083.59,1086.9
15012,18/06/1984,1114.29,1079.39,1109.65
15013,19/06/1984,1123.12,1105.79,1115.83
15014,20/06/1984,1135.16,1097.73,1131.63
15015,21/06/1984,1143.44,1115.17,1127.21
15016,22/06/1984,1139.02,1118.93,1131.07
15017,25/06/1984,1140.68,1124.01,1130.52
15018,26/06/1984,1133.61,1116.83,1122.79
15019,27/06/1984,1130.08,1109.98,1116.72
15020,28/06/1984,1131.63,1112.74,1126.55
15021,29/06/1984,1143.33,1124.56,1132.4
15022,02/07/1984,1137.81,1120.25,1130.08
15023,03/07/1984,1139.13,1124.01,1134.28
15024,05/07/1984,1138.47,1122.24,1124.56
15025,06/07/1984,1127.1,1112.19,1122.57
15026,09/07/1984,1138.69,1112.63,1134.05
15027,10/07/1984,1139.47,1119.92,1126.88
15028,11/07/1984,1127.87,1106.23,1108.55
15029,12/07/1984,1116.72,1096.18,1104.57
15030,13/07/1984,1118.04,1101.92,1109.87
15031,16/07/1984,1120.25,1100.82,1116.83
15032,17/07/1984,1128.53,1110.87,1122.9
15033,18/07/1984,1125.44,1106.01,1111.64
15034,19/07/1984,1114.07,1098.28,1102.92
15035,20/07/1984,1109.1,1092.42,1101.37
15036,23/07/1984,1102.58,1083.37,1096.62
15037,24/07/1984,1103.91,1083.59,1086.57
15038,25/07/1984,1106.45,1078.95,1096.95
15039,26/07/1984,1113.18,1093.42,1107.55
15040,27/07/1984,1124.23,1101.59,1114.62
15041,30/07/1984,1121.69,1103.25,1109.98
15042,31/07/1984,1123.56,1104.9,1115.28
15043,01/08/1984,1139.58,1114.95,1134.61
15044,02/08/1984,1171.38,1138.14,1166.08
15045,03/08/1984,1213.34,1176.13,1202.08
15046,06/08/1984,1230.9,1191.14,1202.96
15047,07/08/1984,1216.98,1184.96,1204.62
15048,08/08/1984,1215.44,1191.7,1196.11
15049,09/08/1984,1231.45,1189.49,1224.05
15050,10/08/1984,1253.75,1214.66,1218.09
15051,13/08/1984,1226.15,1204.39,1220.08
15052,14/08/1984,1230.45,1208.7,1214.11
15053,15/08/1984,1219.74,1195.56,1198.98
15054,16/08/1984,1218.42,1196.78,1209.14
15055,17/08/1984,1222.06,1205.94,1211.9
15056,20/08/1984,1221.18,1203.62,1216.98
15057,21/08/1984,1247.35,1216.65,1239.73
15058,22/08/1984,1250.55,1225.82,1231.78
15059,23/08/1984,1241.94,1221.51,1232.44
15060,24/08/1984,1240.72,1227.14,1236.53
15061,27/08/1984,1234.76,1219.08,1227.92
15062,28/08/1984,1236.2,1220.85,1232.11
